Solution,Bluefish-FD-XI-TD,Eman_5.40_fad_12,SugaR.AI.ICCF.1.00,ShashChess15.1,Bluefish-12-W,Crystal-2020-06-29,Bluefish-XI,CorChess v6,Houdidi_6.03_tac_1,Stockfish_2020-07-19, ShashChess 12.1,Stockfish_20121407,Eman 6.61,Stockfish_20062710,SugaR.AI.1.00,Stockfish 11,Honey-XI,Stockfish 10,Crystal 2020-05-02,Black-Diamond-XI,Black-Diamond-XR7,Black-Diamond-XI-r2,Crystal 1.1,Stockfish 9,McCain-v2,Houdidi_6.03_tac_def,Sting-SF-16,Sting-SF-20,Ethereal 12.25,Houdini 1.5 x64,Critter 1.6a 64bit,Stockfish 8,Xiphos 0.6,Ethereal 11.75,Stockfish 7,Bluefish-FD-XI-DC,Lc0 v0.26.3 s1,NumEngSolvedCount,MeanTimeSec
  9) Bd3xh7      ,1.0,8.0,1.0,0.0,1.0,3.0,0.0,17.0,10.0,13.0,16.0,0.0,28.0,2.0,0.0,18.0,2.0,57.0,7.0,4.0,37.0,18.0,2.0,2.0,0.0,51.0,5.0,3.0,14.0,18.0,28.0,3.0,10.0,68.0,3.0,0.0,,36,12.0
128) Bb2-a3      ,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,67.0,73.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,2.0,15.0,0.0,157.0,7.0,5.0,16.0,314.0,0.0,0.0,,36,21.0
 86) c2-c4       ,1.0,1.0,1.0,1.0,2.0,0.0,22.0,37.0,0.0,185.0,1.0,3.0,23.0,0.0,3.0,23.0,75.0,51.0,0.0,1.0,0.0,1.0,1.0,522.0,53.0,0.0,4.0,10.0,13.0,1.0,0.0,41.0,308.0,47.0,85.0,0.0,,36,42.0
143) Re1xe7      ,0.0,196.0,0.0,4.0,0.0,9.0,77.0,13.0,8.0,3.0,21.0,48.0,414.0,96.0,63.0,79.0,41.0,81.0,7.0,20.0,29.0,39.0,41.0,92.0,139.0,38.0,29.0,19.0,54.0,0.0,0.0,166.0,35.0,139.0,39.0,0.0,0.0,36,57.0
145) Rd1-d8      ,0.0,107.0,2.0,8.0,17.0,8.0,8.0,9.0,1.0,10.0,10.0,74.0,20.0,85.0,49.0,222.0,414.0,253.0,2.0,3.0,10.0,4.0,2.0,955.0,237.0,5.0,96.0,45.0,122.0,130.0,27.0,153.0,62.0,167.0,61.0,1.0,0.0,36,94.0
161) Bd3xh7      ,1.0,84.0,1.0,34.0,1.0,6.0,5.0,28.0,5.0,6.0,119.0,2.0,11.0,38.0,2.0,237.0,75.0,100.0,3.0,10.0,16.0,7.0,13.0,274.0,9.0,60.0,558.0,513.0,58.0,534.0,169.0,187.0,58.0,96.0,127.0,0.0,0.0,36,96.0
188) Rd3-h3      ,83.0,58.0,2.0,40.0,1.0,4.0,145.0,28.0,40.0,67.0,88.0,9.0,2.0,31.0,13.0,31.0,91.0,44.0,110.0,28.0,33.0,30.0,42.0,180.0,68.0,38.0,1775.0,1524.0,163.0,62.0,127.0,362.0,235.0,202.0,104.0,7.0,0.0,36,163.0
193) .. c3xb2    ,346.0,118.0,0.0,288.0,7.0,1052.0,56.0,103.0,69.0,0.0,17.0,83.0,32.0,164.0,177.0,159.0,93.0,105.0,44.0,186.0,1360.0,173.0,420.0,836.0,707.0,465.0,87.0,65.0,218.0,84.0,102.0,91.0,26.0,633.0,19.0,23.0,33.0,36,234.0
205) Rd1-g1      ,2.0,90.0,0.0,705.0,35.0,296.0,16.0,102.0,71.0,12.0,16.0,107.0,27.0,8.0,57.0,73.0,770.0,526.0,440.0,174.0,25.0,54.0,55.0,204.0,38.0,55.0,498.0,330.0,11.0,1043.0,1388.0,338.0,478.0,1718.0,861.0,0.0,0.0,36,295.0
162) Rh1xh7      ,0.0,,0.0,5.0,0.0,13.0,0.0,0.0,0.0,2.0,40.0,3.0,0.0,423.0,3.0,110.0,0.0,85.0,3.0,10.0,17.0,0.0,16.0,197.0,14.0,5.0,26.0,13.0,13.0,0.0,0.0,27.0,0.0,95.0,34.0,0.0,0.0,35,33.0
 40) Kh3-g2      ,7.0,53.0,12.0,26.0,8.0,5.0,6.0,235.0,35.0,128.0,43.0,13.0,5.0,14.0,7.0,17.0,78.0,40.0,63.0,68.0,35.0,18.0,74.0,36.0,9.0,14.0,3.0,96.0,103.0,782.0,67.0,746.0,,31.0,450.0,0.0,29.0,35,95.0
 92) .. Bb7-d5   ,17.0,7.0,2.0,23.0,81.0,3.0,7.0,32.0,0.0,8.0,5.0,86.0,94.0,1602.0,37.0,242.0,122.0,137.0,3.0,6.0,5.0,20.0,8.0,379.0,147.0,27.0,65.0,47.0,121.0,16.0,6.0,409.0,138.0,,116.0,0.0,,35,115.0
137) .. Nf6-h5   ,21.0,79.0,4.0,2.0,27.0,18.0,9.0,50.0,17.0,128.0,23.0,51.0,83.0,840.0,16.0,67.0,1748.0,43.0,36.0,10.0,77.0,20.0,8.0,266.0,144.0,2.0,51.0,92.0,728.0,6.0,6.0,86.0,802.0,,54.0,2.0,,35,160.0
 71) .. h7-h5    ,25.0,52.0,3.0,56.0,7.0,32.0,40.0,55.0,88.0,5.0,135.0,8.0,6.0,22.0,3.0,8.0,92.0,48.0,658.0,25.0,13.0,20.0,74.0,93.0,3.0,318.0,632.0,358.0,20.0,,602.0,715.0,36.0,1120.0,344.0,2.0,17.0,35,163.0
168) Nd5-f6      ,4.0,63.0,4.0,12.0,6.0,25.0,6.0,251.0,222.0,504.0,212.0,179.0,59.0,57.0,101.0,683.0,111.0,506.0,220.0,35.0,358.0,87.0,59.0,217.0,83.0,,3.0,97.0,479.0,121.0,164.0,1597.0,4.0,88.0,628.0,0.0,7.0,35,207.0
199) d5-d6       ,12.0,36.0,36.0,13.0,154.0,120.0,37.0,64.0,110.0,5.0,99.0,60.0,645.0,59.0,75.0,41.0,35.0,192.0,61.0,236.0,844.0,5.0,26.0,76.0,98.0,42.0,515.0,336.0,943.0,236.0,107.0,54.0,,1690.0,1708.0,0.0,0.0,35,251.0
139) .. Ne8-c7   ,20.0,805.0,4.0,22.0,19.0,183.0,56.0,194.0,9.0,6.0,763.0,35.0,31.0,289.0,104.0,881.0,757.0,,26.0,22.0,43.0,24.0,22.0,814.0,626.0,112.0,24.0,38.0,550.0,51.0,393.0,184.0,294.0,961.0,1122.0,1.0,92.0,35,271.0
210) Qd1-h5      ,6.0,19.0,0.0,115.0,287.0,6.0,93.0,452.0,1.0,471.0,1192.0,396.0,528.0,450.0,387.0,1243.0,683.0,1111.0,1.0,61.0,82.0,38.0,37.0,290.0,1067.0,61.0,50.0,41.0,1011.0,2.0,0.0,634.0,92.0,,18.0,2.0,48.0,35,312.0
107) f4-f5       ,1.0,3.0,3.0,1.0,163.0,3.0,196.0,,0.0,304.0,0.0,132.0,61.0,64.0,290.0,52.0,83.0,245.0,0.0,6.0,7.0,10.0,18.0,108.0,,0.0,1.0,0.0,86.0,2.0,2.0,38.0,539.0,427.0,0.0,0.0,,34,84.0
 63) h4-h5       ,13.0,76.0,7.0,18.0,19.0,3.0,17.0,51.0,5.0,24.0,17.0,9.0,59.0,45.0,25.0,127.0,86.0,72.0,40.0,3.0,37.0,9.0,4.0,64.0,26.0,91.0,1234.0,174.0,,32.0,54.0,174.0,954.0,,77.0,2.0,,34,107.0
207) .. Ne4-d6   ,59.0,0.0,1061.0,3.0,30.0,35.0,1171.0,24.0,21.0,311.0,37.0,49.0,8.0,11.0,71.0,67.0,93.0,480.0,6.0,39.0,5.0,23.0,37.0,259.0,108.0,46.0,817.0,451.0,251.0,795.0,9.0,25.0,,,114.0,22.0,6.0,34,192.0
142) Bf1-e2      ,13.0,123.0,15.0,22.0,64.0,19.0,166.0,173.0,15.0,14.0,164.0,47.0,135.0,786.0,210.0,347.0,161.0,615.0,0.0,82.0,24.0,16.0,12.0,,445.0,96.0,107.0,36.0,235.0,83.0,8.0,807.0,,945.0,560.0,1.0,,34,193.0
173) Qg5-h6      ,5.0,20.0,3.0,0.0,7.0,1.0,6.0,247.0,19.0,21.0,8.0,90.0,98.0,12.0,47.0,59.0,31.0,509.0,48.0,3.0,4.0,1.0,1.0,287.0,177.0,130.0,1540.0,,132.0,183.0,179.0,,158.0,1070.0,1539.0,2.0,58.0,34,195.0
175) Nd4-c6      ,220.0,31.0,2.0,1.0,8.0,5.0,22.0,47.0,68.0,4.0,9.0,29.0,48.0,31.0,20.0,36.0,19.0,88.0,66.0,,340.0,18.0,437.0,81.0,56.0,41.0,869.0,251.0,192.0,,1781.0,320.0,45.0,450.0,905.0,143.0,,34,197.0
201) Bd3xh7      ,39.0,33.0,8.0,59.0,78.0,47.0,7.0,419.0,53.0,228.0,,105.0,121.0,233.0,91.0,,815.0,58.0,91.0,433.0,397.0,573.0,1176.0,606.0,56.0,67.0,629.0,136.0,147.0,21.0,12.0,1445.0,102.0,77.0,305.0,1.0,,34,255.0
132) .. Qe4xc4   ,56.0,914.0,931.0,142.0,11.0,,75.0,233.0,25.0,113.0,1242.0,53.0,12.0,239.0,22.0,112.0,158.0,273.0,,168.0,960.0,360.0,344.0,1130.0,415.0,64.0,752.0,50.0,120.0,119.0,398.0,211.0,134.0,85.0,166.0,1.0,,34,297.0
166) Nf8-g6      ,46.0,85.0,1.0,573.0,92.0,353.0,199.0,1080.0,131.0,131.0,677.0,1057.0,10.0,569.0,1447.0,1163.0,617.0,513.0,6.0,6.0,15.0,6.0,4.0,689.0,355.0,,77.0,102.0,1215.0,32.0,0.0,91.0,1134.0,,663.0,4.0,0.0,34,387.0
213) Ng5xf7      ,38.0,1157.0,147.0,,173.0,612.0,1.0,78.0,571.0,279.0,745.0,482.0,238.0,778.0,501.0,385.0,301.0,530.0,1486.0,606.0,559.0,300.0,489.0,1038.0,160.0,539.0,1544.0,,925.0,622.0,535.0,337.0,1167.0,687.0,205.0,0.0,87.0,34,536.0
 82) Ng7-f5      ,32.0,51.0,0.0,20.0,6.0,69.0,53.0,18.0,19.0,18.0,27.0,15.0,0.0,32.0,15.0,38.0,30.0,31.0,74.0,152.0,254.0,357.0,745.0,21.0,33.0,19.0,29.0,41.0,44.0,,,540.0,16.0,40.0,,1.0,0.0,33,86.0
115) Rf4-g4      ,52.0,52.0,0.0,1.0,6.0,3.0,64.0,32.0,0.0,344.0,2.0,20.0,64.0,46.0,18.0,66.0,157.0,110.0,1.0,0.0,0.0,0.0,0.0,192.0,103.0,18.0,1.0,19.0,95.0,0.0,0.0,,,,1778.0,0.0,,33,98.0
 32) Ng3-h5      ,12.0,135.0,14.0,7.0,13.0,31.0,363.0,75.0,8.0,,72.0,30.0,40.0,397.0,338.0,243.0,70.0,132.0,9.0,29.0,4.0,17.0,21.0,250.0,214.0,353.0,2.0,1.0,391.0,0.0,0.0,347.0,,,160.0,0.0,104.0,33,114.0
 17) Nf3-g5      ,0.0,2.0,0.0,0.0,0.0,8.0,0.0,3.0,5.0,0.0,30.0,0.0,0.0,7.0,0.0,5.0,2.0,126.0,25.0,10.0,3.0,2.0,15.0,391.0,92.0,122.0,,,350.0,161.0,967.0,576.0,1474.0,596.0,,0.0,0.0,33,151.0
106) .. Rd7xd4   ,73.0,11.0,53.0,44.0,207.0,28.0,32.0,1336.0,21.0,32.0,124.0,26.0,10.0,41.0,56.0,51.0,109.0,74.0,45.0,81.0,234.0,90.0,230.0,369.0,58.0,118.0,98.0,136.0,183.0,,,32.0,,1062.0,103.0,3.0,0.0,33,157.0
  4) e4-e5       ,76.0,153.0,510.0,118.0,152.0,168.0,129.0,109.0,135.0,78.0,145.0,153.0,132.0,62.0,99.0,70.0,54.0,164.0,800.0,390.0,190.0,68.0,130.0,172.0,152.0,98.0,,,333.0,2.0,,411.0,284.0,882.0,202.0,3.0,1.0,33,201.0
 45) Qc6-f3      ,146.0,96.0,70.0,20.0,9.0,640.0,33.0,88.0,484.0,133.0,63.0,3.0,10.0,81.0,24.0,5.0,113.0,1106.0,337.0,37.0,,,94.0,947.0,167.0,284.0,2.0,110.0,464.0,363.0,1529.0,134.0,77.0,1761.0,,228.0,0.0,33,293.0
191) Bd3xh7      ,48.0,87.0,15.0,62.0,112.0,115.0,76.0,92.0,32.0,49.0,18.0,73.0,115.0,158.0,927.0,,120.0,582.0,178.0,314.0,206.0,325.0,742.0,408.0,347.0,148.0,784.0,1209.0,285.0,388.0,97.0,788.0,,1174.0,,7.0,20.0,33,305.0
112) Rf1-c1      ,1.0,69.0,0.0,2.0,0.0,11.0,55.0,55.0,,6.0,39.0,0.0,0.0,21.0,0.0,57.0,31.0,108.0,9.0,27.0,41.0,18.0,41.0,254.0,121.0,57.0,7.0,8.0,155.0,,15.0,431.0,112.0,,,0.0,0.0,32,55.0
151) Bd3xh7      ,0.0,14.0,0.0,3.0,0.0,47.0,2.0,142.0,185.0,6.0,25.0,1.0,1.0,73.0,1.0,103.0,37.0,194.0,150.0,82.0,145.0,19.0,49.0,281.0,11.0,202.0,,,387.0,,,992.0,200.0,65.0,398.0,7.0,0.0,32,119.0
